,Biden_2020,Total_2020,Other_2020,Perc_Other_2020,Perc_Biden_2020,age_over_18_2019,age_over_65_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,households_speak_limited_english_2019,hs_grad_2019,median_age_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,pop_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,veterans_2019,white_2019,white_not_hispanic_2019,Winner_2020
172,18699,43858,1087,0.024784531898399464,0.4263532308814811,72.8,10.0,3.9,3.54,14.7,6.4,54.5,13.1,73.4,31.8,1.6,16.1,0.2,22373,150691,4.1,7.3,7.5,9.2,67.7,32.2,Trump
173,14941,28800,736,0.025555555555555554,0.5187847222222223,79.1,22.3,1.1,3.11,15.5,2.3,20.6,2.3,85.8,45.6,3.6,12.3,0.1,27362,64195,3.7,8.4,7.1,10.6,76.9,70.5,Biden
174,2799,11985,216,0.018022528160200335,0.2335419274092615,85.1,14.2,1.4,2.73,12.9,8.7,19.0,0.8,83.2,36.6,2.8,1.7,0.8,22134,30818,2.5,6.6,4.4,7.6,82.2,65.4,Trump
175,3028885,4263443,89028,0.02088171461422139,0.7104316863154967,78.0,13.3,14.6,3.66,32.5,8.1,48.5,12.7,79.1,36.5,0.7,21.0,0.3,34156,10081570,4.0,5.7,9.6,3.3,51.3,26.2,Biden
176,23168,53722,1176,0.021890473176724656,0.4312572130598265,72.4,13.8,2.1,3.67,14.6,3.2,57.8,10.6,71.9,34.1,1.6,20.2,0.1,22853,155433,3.3,8.1,8.3,5.6,69.5,34.1,Trump
177,128288,155801,2901,0.018619906162348182,0.8234093491055898,79.8,21.6,5.9,2.96,59.5,2.2,16.0,4.1,93.3,46.8,0.4,8.6,0.2,72466,259943,4.9,3.6,3.5,5.1,77.8,71.2,Biden
178,4088,10280,242,0.023540856031128432,0.3976653696498054,83.7,27.5,1.2,2.63,24.6,1.5,11.3,1.2,90.6,51.7,1.9,2.4,0.3,28757,17420,4.3,8.5,5.6,10.2,88.4,80.0,Trump
179,28782,43336,1287,0.029698172420158875,0.664159128669005,78.6,21.2,2.1,3.1,24.4,0.7,25.1,3.5,86.5,43.1,4.4,4.1,0.2,29035,87224,4.9,8.5,8.6,8.7,83.6,65.2,Biden
180,48991,90541,2153,0.023779282314089822,0.5410918810262754,70.4,11.0,7.5,3.77,13.8,3.2,59.6,13.1,69.1,31.1,0.9,29.0,0.2,23011,271382,4.1,10.4,8.3,4.8,55.1,27.6,Biden
181,1150,4338,79,0.01821115721530664,0.2650991240202858,80.3,27.0,1.1,2.97,15.2,1.5,14.5,4.1,84.8,47.8,4.2,1.2,0.1,22843,8907,2.3,8.1,12.5,10.9,89.5,77.7,Trump
182,4013,6737,211,0.03131957844738009,0.5956657265845332,81.3,14.3,2.6,3.73,28.8,0.8,27.0,3.7,88.6,37.7,3.5,6.2,0.0,34552,14310,3.7,3.6,16.1,6.1,83.3,65.0,Biden
183,113953,163883,3631,0.022156050352995726,0.6953314254681694,73.7,13.2,5.6,3.83,24.7,2.6,58.7,12.4,71.5,34.4,0.7,33.0,0.5,30073,433410,4.3,4.6,9.8,5.4,53.3,29.9,Biden
184,49817,72122,1629,0.02258672804414741,0.6907323701505782,79.1,18.6,8.1,3.35,35.7,2.1,34.1,6.0,85.5,41.3,0.9,11.5,0.2,45195,139623,3.9,4.3,5.9,6.7,73.4,52.4,Biden
185,36359,64738,1600,0.024715005097469767,0.5616330439618153,82.8,26.5,1.1,2.88,37.2,0.6,9.4,0.8,94.4,50.5,0.7,1.3,0.1,39233,99244,3.8,3.8,6.5,9.8,92.4,85.2,Biden
186,814009,1521725,31218,0.020514876209564825,0.5349251671622665,77.8,14.4,20.5,3.51,40.6,1.8,34.1,8.7,85.5,38.1,0.5,11.9,0.3,41514,3168044,4.1,4.3,7.6,4.4,61.0,40.6,Biden
187,106869,235017,5660,0.024083364182165723,0.4547288068522702,77.6,19.1,7.5,3.18,39.7,1.7,14.0,1.9,94.5,42.0,0.5,2.9,0.2,43759,385512,4.9,3.8,4.0,8.7,82.2,72.7,Trump
188,4561,11256,250,0.022210376687988642,0.4052061122956645,83.3,27.1,1.2,2.73,23.7,0.9,8.9,1.1,95.1,52.3,1.5,1.6,0.5,35198,18660,4.0,6.0,3.1,12.1,90.3,83.1,Trump
189,527945,996156,19509,0.01958428197993095,0.5299822517758263,74.5,14.1,6.5,3.87,22.3,6.5,48.9,8.1,82.0,35.6,0.8,21.5,0.3,28596,2411439,4.4,6.9,8.8,6.8,59.9,35.3,Biden
